District Name,Year,Total Operating Revenue,Student Count,Campus Name,County Name,Region,Region Name,ERW,SAT Math,SAT Total,ACT English,ACT Math,ACT Reading,ACT Science,ACT Compos,per student budget
laredo isd,2022,301428928.0,19716,Hector J Garcia ECHS,Webb County,1.0,Edinburg,522.0,501.0,1023.0,19.0,19.3,21.1,19.9,19.9,15288
laredo isd,2022,301428928.0,19716,Nixon HS,Webb County,1.0,Edinburg,468.0,437.0,905.0,16.6,16.3,18.0,18.1,17.4,15288
hallsville isd,2022,189500425.0,19079,Hallsville HS,Harrison County,7.0,Kilgore,547.0,539.0,1086.0,19.8,20.3,21.4,21.3,20.8,9932
hallsville isd,2022,189500425.0,19079,Texas Virtual Academy,Harrison County,7.0,Kilgore,494.0,451.0,946.0,14.6,17.1,15.0,16.7,15.9,9932
wylie isd,2022,196180888.0,18155,Wylie East HS,Collin County,10.0,Richardson,528.0,530.0,1058.0,23.9,23.1,25.8,23.9,24.2,10805
wylie isd,2022,196180888.0,18155,Wylie HS,Taylor County,14.0,Abilene,582.0,560.0,1142.0,21.9,22.3,24.9,23.2,23.2,10805
wylie isd,2022,196180888.0,18155,Wylie HS,Collin County,10.0,Richardson,546.0,551.0,1096.0,23.3,24.2,23.6,23.6,23.8,10805
tyler isd,2022,229048492.0,18126,Tyler Legacy HS,Smith County,7.0,Kilgore,537.0,515.0,1051.0,20.9,20.6,22.9,21.6,21.6,12636
tyler isd,2022,229048492.0,18126,Tyler HS,Smith County,7.0,Kilgore,447.0,443.0,889.0,14.8,16.7,15.8,17.1,16.3,12636
rockwall isd,2022,178168380.0,17818,Rockwall-Heath HS,Rockwall County,10.0,Richardson,516.0,512.0,1027.0,22.1,22.3,24.2,23.7,23.2,9999
rockwall isd,2022,178168380.0,17818,Rockwall HS,Rockwall County,10.0,Richardson,536.0,522.0,1058.0,21.6,22.2,24.1,22.8,22.8,9999
new caney isd,2022,214127065.0,17098,Infinity ECHS,Montgomery County,6.0,Huntsville,514.0,506.0,1020.0,18.3,18.2,19.2,19.6,19.0,12523
new caney isd,2022,214127065.0,17098,Porter HS,Montgomery County,6.0,Huntsville,522.0,495.0,1017.0,14.1,16.0,15.9,16.5,15.7,12523
new caney isd,2022,214127065.0,17098,New Caney HS,Montgomery County,6.0,Huntsville,511.0,484.0,995.0,13.5,15.3,15.1,16.0,15.1,12523
harlingen cisd,2022,240339324.0,17022,Harlingen School of Health,Cameron County,1.0,Edinburg,532.0,508.0,1040.0,18.0,18.6,19.5,19.2,19.0,14119
harlingen cisd,2022,240339324.0,17022,Harlingen HS-South,Cameron County,1.0,Edinburg,485.0,468.0,953.0,20.0,19.8,21.1,20.5,20.4,14119
harlingen cisd,2022,240339324.0,17022,Harlingen HS,Cameron County,1.0,Edinburg,490.0,468.0,958.0,17.9,18.7,17.3,20.6,18.9,14119
harlingen cisd,2022,240339324.0,17022,Harlingen Collegiate HS,Cameron County,1.0,Edinburg,524.0,512.0,1035.0,19.8,20.1,22.0,19.5,20.5,14119
beaumont isd,2022,206373870.0,16729,West Brook Sr HS,Jefferson County,5.0,Beaumont,513.0,492.0,1006.0,17.7,17.9,20.3,18.9,18.8,12336
beaumont isd,2022,206373870.0,16729,Beaumont United HS,Jefferson County,5.0,Beaumont,483.0,451.0,934.0,13.1,14.6,15.3,16.5,15.0,12336
beaumont isd,2022,206373870.0,16729,Beaumont ISD ECHS,Jefferson County,5.0,Beaumont,529.0,511.0,1040.0,22.6,17.6,18.2,17.4,18.8,12336
crowley isd,2022,199532743.0,16227,Crowley HS,Tarrant County,11.0,Fort Worth,458.0,443.0,902.0,18.1,17.9,19.0,18.8,18.6,12296
crowley isd,2022,199532743.0,16227,North Crowley HS,Tarrant County,11.0,Fort Worth,450.0,437.0,887.0,16.8,17.6,17.7,18.1,17.7,12296
